State,Names,Gender
Eastern Virginia,"Young, Roderick Charles",Male
Eastern Virginia,"Walker, Jamar Kentrell",Male
Eastern Virginia,"Trenga, Anthony John",Male
Eastern Virginia,"Smith, Rebecca Beach",Female
Eastern Virginia,"Payne, Robert E.",Male
Eastern Virginia,"Novak, David John",Male
Eastern Virginia,"Nachmanoff, Michael Stefan",Male
Eastern Virginia,"Lauck, M[ary] Hannah",Female
Eastern Virginia,"Hanes, Elizabeth Wilson",Female
Eastern Virginia,"Hudson, Henry E.",Male
Eastern Virginia,"Ellis, Thomas Selby III",Male
Eastern Virginia,"Jackson, Raymond Alvin",Male
Eastern Virginia,"Giles, Patricia Tolliver",Female
Eastern Virginia,"Gibney, John Adrian, Jr.",Male
Eastern Washington,"Bastian, Stanley Allen",Male
Eastern Washington,"Dimke, Mary Katherine",Female
Eastern Washington,"Nielsen, William Fremming",Male
Eastern Washington,"Peterson, Rosanna Malouf",Female
Eastern Washington,"Rice, Thomas Owen",Male
Eastern Washington,"Shea, Edward F.",Male
Eastern Washington,"Quackenbush, Justin Lowe",Male
Eastern Washington,"Whaley, Robert H.",Male
Eastern Washington,"Suko, Lonny R.",Male
Eastern Wisconsin,"Adelman, Lynn S.",Male
Eastern Wisconsin,"Griesbach, William C.",Male
Eastern Wisconsin,"Ludwig, Brett Harry",Male
Eastern Wisconsin,"Pepper, Pamela",Female
Eastern Wisconsin,"Stadtmueller, Joseph Peter",Male
Eastern Arkansas,"Baker, Kristine Gerhard",Female
Eastern Arkansas,"Marshall, Denzil Price, Jr.",Male
Eastern Arkansas,"Miller, Brian Stacy",Male
Eastern Arkansas,"Moody, James Maxwell, Jr.",Male
Eastern Arkansas,"Rudofsky, Lee Philip",Male
Eastern Arkansas,"Wilson, Billy Roy",Male
Eastern Arkansas,"Wright, Susan Webber",Female
Eastern California,"Ishii, Anthony W.",Male
Eastern California,"Burrell, Garland Ellis, Jr.",Male
Eastern California,"Calabretta, Daniel Joe Powell",Male
Eastern California,"Drozd, Dale Alan",Male
Eastern California,"England, Morrison C., Jr.",Male
Eastern California,"Mendez, John A.",Male
Eastern California,"Thurston, Jennifer Leigh",Female
Eastern California,"Shubb, William B.",Male
Eastern California,"O'Neill, Lawrence Joseph",Male
Eastern California,"Nunley, Troy Lynne",Male
Eastern California,"Mueller, Kimberly Jo",Female
Eastern Kentucky,"Van Tatenhove, Gregory Frederick",Male
Eastern Kentucky,"Reeves, Danny C.",Male
Eastern Kentucky,"Bertelsman, William Odis",Male
Eastern Kentucky,"Boom, Claria Horn",Female
Eastern Kentucky,"Bunning, David L.",Male
Eastern Kentucky,"Caldwell, Karen K.",Female
Eastern Kentucky,"Hood, Joseph Martin",Male
Eastern Kentucky,"Wier, Robert Earl",Male
Eastern Louisiana,"Lemmon, Mary Ann Vial",Female
Eastern Louisiana,"Africk, Lance M.",Male
Eastern Louisiana,"Ashe, Barry Weldon",Male
Eastern Louisiana,"Berrigan, Helen Ginger",Female
Eastern Louisiana,"Brown, Nannette Jolivette",Female
Eastern Louisiana,"Fallon, Eldon E.",Male
Eastern Louisiana,"Guidry, Greg Gerard",Male
Eastern Louisiana,"Lemelle, Ivan L. R.",Male
Eastern Louisiana,"Milazzo, Jane Margaret Triche",Female
Eastern Louisiana,"Barbier, Carl J.",Male
Eastern Louisiana,"Papillion, Darrel James",Male
Eastern Louisiana,"Vance, Sarah S.",Female
Eastern Louisiana,"Vitter, Wendy Baldwin",Female
Eastern Louisiana,"Zainey, Jay C.",Male
Eastern Louisiana,"Morgan, Susie",Female
Eastern Michigan,"Parker, Linda Vivienne",Female
Eastern Michigan,"O'Meara, John Corbett",Male
Eastern Michigan,"Murphy, Stephen Joseph III",Male
Eastern Michigan,"Behm, Frances Kay",Female
Eastern Michigan,"Berg, Terrence George",Male
Eastern Michigan,"Cleland, Robert Hardy",Male
Eastern Michigan,"Cox, Sean Francis",Male
Eastern Michigan,"DeClercq, Susan Kim",Female
Eastern Michigan,"Drain, Gershwin Allen",Male
Eastern Michigan,"Edmunds, Nancy Garlock",Female
Eastern Michigan,"Borman, Paul D.",Male
Eastern Michigan,"Goldsmith, Mark Allan",Male
Eastern Michigan,"Leitman, Matthew Frederick",Male
Eastern Michigan,"Levy, Judith Ellen",Female
Eastern Michigan,"Friedman, Bernard A.",Male
Eastern Michigan,"Ludington, Thomas Lamson",Male
Eastern Michigan,"McMillion, Brandy Renée",Female
Eastern Michigan,"Steeh, George Caram III",Male
Eastern Michigan,"Lawson, David M.",Male
Eastern Michigan,"Grey, Jonathan James Canada",Male
Eastern Michigan,"Hood, Denise Page",Female
Eastern Michigan,"Kumar, Shalina Deborah",Female
Eastern Michigan,"Michelson, Laurie Jill",Female
Eastern Missouri,"White, Ronnie Lee",Male
Eastern Missouri,"Webber, E. Richard",Male
Eastern Missouri,"Sippel, Rodney W.",Male
Eastern Missouri,"Schelp, Matthew Thomas",Male
Eastern Missouri,"Ross, John Andrew",Male
Eastern Missouri,"Pitlyk, Sarah Elizabeth",Female
Eastern Missouri,"Limbaugh, Stephen Nathaniel, Jr.",Male
Eastern Missouri,"Laughrey, Nanette Kay",Female
Eastern Missouri,"Fleissig, Audrey Goldstein",Female
Eastern Missouri,"Filippine, Edward Louis",Male
Eastern Missouri,"Clark, Stephen Robert, Sr.",Male
Eastern Missouri,"Autrey, Henry Edward",Male
Eastern Missouri,"Perry, Catherine D.",Female
Eastern Missouri,"Hamilton, Jean Constance",Female
Eastern Missouri,"Wimes, Brian Curtis",Male
Eastern New York,"Dearie, Raymond Joseph",Male
Eastern New York,"Hurley, Denis Reagan",Male
Eastern New York,"Gujarati, Diane",Female
Eastern New York,"Gonzalez, Hector",Male
Eastern New York,"Glasser, Israel Leo",Male
Eastern New York,"Gershon, Nina",Female
Eastern New York,"Garaufis, Nicholas",Male
Eastern New York,"Donnelly, Ann Marie",Female
Eastern New York,"Vitaliano, Eric Nicholas",Male
Eastern New York,"DeArcy Hall, LaShann Moutique",Female
Eastern New York,"Cogan, Brian Mark",Male
Eastern New York,"Choudhury, Nusrat Jahan",Female
Eastern New York,"Chen, Pamela Ki Mai",Female
Eastern New York,"Brown, Gary Richard",Male
Eastern New York,"Irizarry, Dora L.",Female
Eastern New York,"Brodie, Margo Kitsy",Female
Eastern New York,"Azrack, Joan Marie",Female
Eastern New York,"Amon, Carol Bagley",Female
Eastern New York,"Korman, Edward Robert",Male
Eastern New York,"Kovner, Rachel Peter",Female
Eastern New York,"Kuntz, William Francis II",Male
Eastern New York,"Matsumoto, Kiyo A.",Female
Eastern New York,"Mauskopf, Roslynn Renee",Female
Eastern New York,"Merchant, Orelia Eleta",Female
Eastern New York,"Merle, Natasha Clarise",Female
Eastern New York,"Morrison, Nina Rauh",Female
Eastern New York,"Reyes, Ramon Ernesto, Jr.",Male
Eastern New York,"Ross, Allyne R.",Female
Eastern New York,"Seybert, Joanna",Female
Eastern New York,"Block, Frederic",Male
Eastern New York,"Komitee, Eric Ross",Male
Eastern Oklahoma,"Heil, John Frederick III",Male
Eastern Oklahoma,"White, Ronald A.",Male
Eastern Oklahoma,"Seay, Frank Howell",Male
Eastern Oklahoma,"Payne, James H.",Male
Hawaii,"Smith, Micah William Janso",Male
Hawaii,"Seabright, J[ohn] Michael",Male
Hawaii,"Ezra, David Alan",Male
Hawaii,"Gillmor, Helen W.",Female
Hawaii,"Kay, Alan Cooke",Male
Hawaii,"Kobayashi, Leslie Emi",Female
Hawaii,"Mollway, Susan Oki",Female
Hawaii,"Watson, Derrick Kahala",Male
Hawaii,"Otake, Jill Aiko",Female
Hawaii,"Park, Shanlyn Alohakeao Souza",Female
Idaho,"Lodge, Edward J.",Male
Idaho,"Winmill, B. Lynn",Male
Idaho,"Brailsford, Amanda Kathleen",Female
Idaho,"Nye, David Charles",Male
Kansas,"Vratil, Kathryn Hoefer",Female
Kansas,"Robinson, Julie A.",Female
Kansas,"Melgren, Eric F.",Male
Kansas,"Lungstrum, John Watson",Male
Kansas,"Crouse, Toby Jon",Male
Kansas,"Crabtree, Daniel Dale",Male
Kansas,"Broomes, John Wesley",Male
Kansas,"Teeter, Holly Lou",Female
Kansas,"Belot, Monti L.",Male
Maine,"Hornby, David Brock",Male
Maine,"Woodcock, John A., Jr.",Male
Maine,"Walker, Lance Edward",Male
Maine,"Torresen, Nancy",Female
Maine,"Singal, George Z.",Male
Maine,"Levy, Jon David",Male
Maryland,"Nickerson, William M.",Male
Maryland,"Xinis, Paula",Female
Maryland,"Bennett, Richard D.",Male
Maryland,"Blake, Catherine C.",Female
Maryland,"Boardman, Deborah Lynn",Female
Maryland,"Bredar, James Kelleher",Male
Maryland,"Chasanow, Deborah K.",Female
Maryland,"Griggsby, Lydia Kay",Female
Maryland,"Gallagher, Stephanie Agli",Female
Maryland,"Hollander, Ellen Lipton",Female
Maryland,"Hurson, Brendan Abell",Male
Maryland,"Maddox, Matthew James",Male
Maryland,"Messitte, Peter Jo",Male
Maryland,"Russell, George Levi III",Male
Maryland,"Rubin, Julie Rebecca",Female
Maryland,"Chuang, Theodore David",Male
Massachusetts,"Burroughs, Allison Dale",Female
Massachusetts,"Casper, Denise Jefferson",Female
Massachusetts,"Guzman, Margaret Rose",Female
Massachusetts,"Gorton, Nathaniel M.",Male
Massachusetts,"Mastroianni, Mark Gerald",Male
Massachusetts,"Wolf, Mark Lawrence",Male
Massachusetts,"Talwani, Indira",Female
Massachusetts,"Stearns, Richard Gaylore",Male
Massachusetts,"Sorokin, Leo Theodore",Male
Massachusetts,"Zobel, Rya Weickert",Female
Massachusetts,"Saylor, F. Dennis IV",Male
Massachusetts,"Saris, Patti B.",Female
Massachusetts,"Ponsor, Michael Adrian",Male
Massachusetts,"O'Toole, George A., Jr.",Male
Massachusetts,"Woodlock, Douglas Preston",Male
Massachusetts,"Young, William G.",Male
Massachusetts,"Joun, Myong Jin",Male
Massachusetts,"Harrington, Edward Francis",Male
Massachusetts,"Kobick, Julia Eleanor",Female
Massachusetts,"Hillman, Timothy Spafard",Male
Massachusetts,"Kelley, Angel",Female
Middle North Carolina,"Tilley, Norwood Carlton, Jr.",Male
Middle North Carolina,"Schroeder, Thomas D.",Male
Middle North Carolina,"Osteen, William Lindsay, Jr.",Male
Middle North Carolina,"Eagles, Catherine Caldwell",Female
Middle North Carolina,"Biggs, Loretta Copeland",Female
Middle Pennsylvania,"Munley, Julia Kathleen",Female
Middle Pennsylvania,"Rambo, Sylvia H.",Female
Middle Pennsylvania,"Wilson, Jennifer Philpott",Female
Middle Pennsylvania,"Kane, Yvette",Female
Middle Pennsylvania,"Mariani, Robert David",Male
