Men_names
"Holcomb, John William"
"Holland, H[ezekiah] Russel"
"Holmes, Paul Kinloch III"
"Hood, Joseph Martin"
"Hopkins, Jeffery Paul"
"Hornak, Mark Raymond"
"Hornby, David Brock"
"Houston, John A."
"Hovland, Daniel L."
"Howard, Malcolm Jones"
"Hoyt, Kenneth M."
"Hsu, Wesley Liu"
"Huck, Paul C."
"Hudson, Henry E."
"Huffaker, R. Austin, Jr."
"Hughes, Lynn Nettleton"
"Huie, Robert Steven"
"Hunt, Roger L."
"Hunt, Willis B., Jr."
"Hurd, David N."
"Hurley, Daniel T. K."
"Hurley, Denis Reagan"
"Hurson, Brendan Abell"
"Ishii, Anthony W."
"Jackson, Brian Anthony"
"Jackson, Raymond Alvin"
"Jackson, Richard Brooke"
"James, Robert Gillespie"
"Johnson, Alan Bond"
"Johnson, William Paul"
"Johnston, Iain David"
"Johnston, Thomas E."
"Jones, Bernard M."
"Jones, C. Darnell II"
"Jones, James Parker"
"Jones, Richard A."
"Jones, Robert Clive"
"Jones, Robert Edward"
"Jones, Steve CarMichael"
"Jonker, Robert James"
"Jordan, Daniel Porter III"
"Jordan, Robert Leon"
"Jordan, Sean D."
"Joseph, David Cleveland"
"Joun, Myong Jin"
"Junell, Robert A."
"Jung, William Frederic"
"Kacsmaryk, Matthew Joseph"
"Kahn, Lawrence E."
"Kane, John L., Jr."
"Kapala, Frederick J."
"Kaplan, Lewis A."
"Karas, Kenneth M."
"Kay, Alan Cooke"
"Kays, David Gregory"
"Kearney, Mark A."
"Keenan, John Fontaine"
"Keller, William Duffy"
"Kelly, Robert F."
"Kelly, Timothy James"
"Kennedy, Henry Harold, Jr."
"Kennelly, Matthew F."
"Kenney, Chad Francis, Sr."
"Kern, Terence C."
"Kernodle, Jeremy Daniel"
"Kimball, Dale A."
"Kindred, Joshua Michael"
"King, James Lawrence"
"Kinkeade, James E."
"Kirsch, Robert Andrew"
"Klausner, Robert Gary"
"Kleeh, Thomas Shawn"
"Knepp, James Ray II"
"Kness, John Fitzgerald"
"Kocoras, Charles Petros"
"Koeltl, John George"
"Komitee, Eric Ross"
"Kopf, Richard George"
"Korman, Edward Robert"
"Kornmann, Charles B."
"Kronstadt, John Arnold"
"Kugler, Robert B."
"Kuntz, William Francis II"
"Lake, Simeon Timothy III"
"Lamberth, Royce C."
"Land, Clay D."
"Lange, Roberto Antonio"
"Lanza, Dominic William"
"Laplante, Joseph Normand"
"Larimer, David G."
"Lasnik, Robert S."
"Lawrence, William T."
"Lawson, David M."
"Lawson, Hugh"
"Lazzara, Richard A."
"Lee, Tom Stewart"
"Lee, William Charles"
"Leeson, Joseph F., Jr."
"Leichty, Damon Ray"
"Leinenweber, Harry Daniel"
"Leitman, Matthew Frederick"
"Lemelle, Ivan L. R."
"Leon, Richard J."
"Leonard, Timothy D."
"Levy, Jon David"
"Liburdi, Michael Thomas"
"Liman, Lewis Jeffrey"
"Limbaugh, Stephen Nathaniel, Jr."
"Lindsay, Sam A."
"Locher, Stephen Henley"
"Lodge, Edward J."
"Logan, Steven Paul"
"Longobardi, Joseph J."
"Longstaff, Ronald Earl"
"Lorenz, M. James"
"Ludington, Thomas Lamson"
"Ludwig, Brett Harry"
"Lungstrum, John Watson"
"Maddox, Matthew James"
"Magnuson, Paul Arthur"
"Mahan, James C."
"Maloney, Paul Lewis"
"Maloney, Robert B."
"Mannion, Malachy Edward"
"Marbley, Algenon L."
"Mariani, Robert David"
"Marovich, George Michael"
"Marra, Kenneth A."
"Marrero, Victor"
"Marsh, Malcolm Francis"
"Marshall, Denzil Price, Jr."
"Martinez, Jose E."
"Martinez, Ricardo S."
"Martinez, William Joseph"
"Martini, William J."
"Martinotti, Brian R."
"Martone, Frederick J."
"Mastroianni, Mark Gerald"
"Mays, Samuel H., Jr."
"Maze, Corey Landon"
"Mazzant, Amos Louis III"
"McAuliffe, Steven J."
"McAvoy, Thomas James"
"McCalla, Jon Phipps"
