State,Names,Gender
Southern_New_York,"Caproni, Valerie Elaine",Female
Southern_New_York,"Carter, Andrew Lamar, Jr.",Male
Southern_New_York,"Castel, P. Kevin",Male
Southern_New_York,"Clarke, Jessica Gloria Lynn",Female
Southern_New_York,"Cote, Denise",Female
Southern_New_York,"Cronan, John Peter",Male
Southern_New_York,"Crotty, Paul Austin",Male
Southern_New_York,"Daniels, George B.",Male
Southern_New_York,"Engelmayer, Paul Adam",Male
Southern_New_York,"Failla, Katherine Polk",Female
Southern_New_York,"Furman, Jesse Matthew",Male
Southern_New_York,"Gardephe, Paul G.",Male
Southern_New_York,"Garnett, Margaret M.",Female
Southern_New_York,"Haight, Charles Sherman, Jr.",Male
Southern_New_York,"Halpern, Philip Morgan",Male
Southern_New_York,"Hellerstein, Alvin K.",Male
Southern_New_York,"Ho, Dale Edwin",Male
Southern_New_York,"Kaplan, Lewis A.",Male
Southern_New_York,"Karas, Kenneth M.",Male
Southern_New_York,"Keenan, John Fontaine",Male
Southern_New_York,"Koeltl, John George",Male
Southern_New_York,"Liman, Lewis Jeffrey",Male
Southern_New_York,"Marrero, Victor",Male
Southern_New_York,"McMahon, Colleen",Female
Southern_New_York,"Oetken, James Paul",Male
Southern_New_York,"Preska, Loretta A.",Female
Southern_New_York,"Rakoff, Jed Saul",Male
Southern_New_York,"Ramos, Edgardo",Male
Southern_New_York,"Rearden, Jennifer Hutchison",Female
Southern_New_York,"Rochon, Jennifer Louise",Female
Southern_New_York,"Román, Nelson Stephen",Male
Southern_New_York,"Schofield, Lorna Gail",Female
Southern_New_York,"Seibel, Cathy",Female
Southern_New_York,"Stanton, Louis Lee",Male
Southern_New_York,"Stein, Sidney H.",Male
Southern_New_York,"Subramanian, Arun Srinivas",Male
Southern_New_York,"Swain, Laura Taylor",Female
Southern_New_York,"Torres, Analisa Nadine",Female
Southern_New_York,"Vyskocil, Mary Kay",Female
Southern_New_York,"Wood, Kimba Maureen",Female
Southern_New_York,"Woods, Gregory Howard III",Male
Eastern Virginia,"Allen, Arenda Lauretta Wright",Female
Eastern Virginia,"Alston, Rossie David, Jr.",Male
Eastern Virginia,"Brinkema, Leonie M.",Female
Eastern Virginia,"Davis, Mark Steven",Male
Eastern Virginia,"Ellis, Thomas Selby III",Male
Eastern Virginia,"Gibney, John Adrian, Jr.",Male
Eastern Virginia,"Giles, Patricia Tolliver",Female
Eastern Virginia,"Hanes, Elizabeth Wilson",Female
Eastern Virginia,"Hilton, Claude M.",Male
Eastern Virginia,"Hudson, Henry E.",Male
Eastern Virginia,"Jackson, Raymond Alvin",Male
Eastern Virginia,"Lauck, M[ary] Hannah",Female
Eastern Virginia,"Nachmanoff, Michael Stefan",Male
Eastern Virginia,"Novak, David John",Male
Eastern Virginia,"Payne, Robert E.",Male
Eastern Virginia,"Smith, Rebecca Beach",Female
Eastern Virginia,"Trenga, Anthony John",Male
Eastern Virginia,"Walker, Jamar Kentrell",Male
Eastern Virginia,"Young, Roderick Charles",Male
South Dakota,"Kornmann, Charles B.",Male
South Dakota,"Lange, Roberto Antonio",Male
South Dakota,"Piersol, Lawrence L.",Male
South Dakota,"Schreier, Karen E.",Female
New_Hampshire,"Barbadoro, Paul J.",Male
New_Hampshire,"Elliott, Samantha Dowd",Female
New_Hampshire,"Laplante, Joseph Normand",Male
New_Hampshire,"McAuliffe, Steven J.",Male
New_Hampshire,"McCafferty, Landya B.",Female
Northern Texas,"Boyle, Jane J.",Female
Northern Texas,"Brown, Ada Elene",Female
Northern Texas,"Cummings, Samuel Ray",Male
Northern Texas,"Fish, A[llen] Joe",Male
Northern Texas,"Fitzwater, Sidney Allen",Male
Northern Texas,"Godbey, David C.",Male
Northern Texas,"Hendrix, James Wesley",Male
Northern Texas,"Kacsmaryk, Matthew Joseph",Male
Northern Texas,"Kinkeade, James E.",Male
Northern Texas,"Lindsay, Sam A.",Male
Northern Texas,"Lynn, Barbara M.",Female
Northern Texas,"Maloney, Robert B.",Male
Northern Texas,"Means, Terry R.",Male
Northern Texas,"O'Connor, Reed Charles",Male
Northern Texas,"Pittman, Mark Timothy",Male
Northern Texas,"Scholer, Karen Gren",Female
Northern Texas,"Starr, Brantley David",Male
Kansas,"Belot, Monti L.",Male
Kansas,"Broomes, John Wesley",Male
Kansas,"Crabtree, Daniel Dale",Male
Kansas,"Crouse, Toby Jon",Male
Kansas,"Lungstrum, John Watson",Male
Kansas,"Melgren, Eric F.",Male
Kansas,"Robinson, Julie A.",Female
Kansas,"Teeter, Holly Lou",Female
Kansas,"Vratil, Kathryn Hoefer",Female
Central_Illinois,"Bruce, Colin Stirling",Male
Central_Illinois,"Darrow, Sara Lynn",Female
Central_Illinois,"Lawless, Colleen Rae",Female
Central_Illinois,"McDade, Joe Billy",Male
Central_Illinois,"Mihm, Michael Martin",Male
Central_Illinois,"Myerscough, Sue Ellen",Female
Central_Illinois,"Shadid, James Edward",Male
Southern West Virginia,"Berger, Irene Cornelia",Female
Southern West Virginia,"Chambers, Robert Charles",Male
Southern West Virginia,"Copenhaver, John Thomas, Jr.",Male
Southern West Virginia,"Faber, David A.",Male
Southern West Virginia,"Goodwin, Joseph Robert",Male
Southern West Virginia,"Johnston, Thomas E.",Male
Southern West Virginia,"Volk, Frank William",Male
Western Virginia,"Ballou, Robert Stewart",Male
Western Virginia,"Cullen, Thomas Tullidge",Male
Western Virginia,"Dillon, Elizabeth Kay",Female
Western Virginia,"Jones, James Parker",Male
Western Virginia,"Moon, Norman K.",Male
Western Virginia,"Urbanski, Michael Francis",Male
Nebraska,"Bataillon, Joseph F.",Male
Nebraska,"Buescher, Brian Craig",Male
Nebraska,"Gerrard, John Melvin",Male
Nebraska,"Kopf, Richard George",Male
Nebraska,"Rossiter, Robert F., Jr.",Male
Montana,"Christensen, Dana Lewis",Male
Montana,"Haddon, Sam E.",Male
Montana,"Molloy, Donald W.",Male
Montana,"Morris, Brian Matthew",Male
Montana,"Watters, Susan Pamela",Female
Western Washington,"Bryan, Robert Jensen",Male
