State,Names,Gender,Race and Ethnicity
Eastern Virginia,"Walker, Jamar Kentrell",Male,African American
Eastern Virginia,"Trenga, Anthony John",Male,White
Eastern Virginia,"Smith, Rebecca Beach",Female,White
Eastern Virginia,"Payne, Robert E.",Male,White
Eastern Virginia,"Novak, David John",Male,White
Eastern Virginia,"Nachmanoff, Michael Stefan",Male,White
Eastern Virginia,"Lauck, M[ary] Hannah",Female,White
Eastern Virginia,"Hanes, Elizabeth Wilson",Female,White
Eastern Virginia,"Hudson, Henry E.",Male,White
Eastern Virginia,"Ellis, Thomas Selby III",Male,White
Eastern Virginia,"Jackson, Raymond Alvin",Male,African American
Eastern Virginia,"Giles, Patricia Tolliver",Female,African American
Eastern Virginia,"Gibney, John Adrian, Jr.",Male,White
Eastern Washington,"Bastian, Stanley Allen",Male,White
Eastern Washington,"Dimke, Mary Katherine",Female,White
Eastern Washington,"Nielsen, William Fremming",Male,White
Eastern Washington,"Peterson, Rosanna Malouf",Female,White
Eastern Washington,"Rice, Thomas Owen",Male,White
Eastern Washington,"Shea, Edward F.",Male,White
Eastern Washington,"Quackenbush, Justin Lowe",Male,White
Eastern Washington,"Whaley, Robert H.",Male,White
Eastern Washington,"Suko, Lonny R.",Male,White
Eastern Wisconsin,"Adelman, Lynn S.",Male,White
Eastern Wisconsin,"Griesbach, William C.",Male,White
Eastern Wisconsin,"Ludwig, Brett Harry",Male,White
Eastern Wisconsin,"Pepper, Pamela",Female,White
Eastern Wisconsin,"Stadtmueller, Joseph Peter",Male,White
Eastern Arkansas,"Baker, Kristine Gerhard",Female,White
Eastern Arkansas,"Marshall, Denzil Price, Jr.",Male,White
Eastern Arkansas,"Miller, Brian Stacy",Male,African American
Eastern Arkansas,"Moody, James Maxwell, Jr.",Male,White
Eastern Arkansas,"Rudofsky, Lee Philip",Male,White
Eastern Arkansas,"Wilson, Billy Roy",Male,White
Eastern Arkansas,"Wright, Susan Webber",Female,White
Eastern California,"Ishii, Anthony W.",Male,
Eastern California,"Burrell, Garland Ellis, Jr.",Male,African American
Eastern California,"Calabretta, Daniel Joe Powell",Male,White
Eastern California,"Drozd, Dale Alan",Male,White
Eastern California,"England, Morrison C., Jr.",Male,African American
Eastern California,"Mendez, John A.",Male,Hispanic
Eastern California,"Thurston, Jennifer Leigh",Female,White
Eastern California,"Shubb, William B.",Male,White
Eastern California,"O'Neill, Lawrence Joseph",Male,White
Eastern California,"Nunley, Troy Lynne",Male,African American
Eastern California,"Mueller, Kimberly Jo",Female,White
Eastern Kentucky,"Van Tatenhove, Gregory Frederick",Male,White
Eastern Kentucky,"Reeves, Danny C.",Male,White
Eastern Kentucky,"Bertelsman, William Odis",Male,White
Eastern Kentucky,"Boom, Claria Horn",Female,White
Eastern Kentucky,"Bunning, David L.",Male,White
Eastern Kentucky,"Caldwell, Karen K.",Female,White
Eastern Kentucky,"Hood, Joseph Martin",Male,White
Eastern Kentucky,"Wier, Robert Earl",Male,White
Eastern Louisiana,"Lemmon, Mary Ann Vial",Female,White
Eastern Louisiana,"Africk, Lance M.",Male,White
Eastern Louisiana,"Ashe, Barry Weldon",Male,White
Eastern Louisiana,"Berrigan, Helen Ginger",Female,White
Eastern Louisiana,"Brown, Nannette Jolivette",Female,African American
Eastern Louisiana,"Fallon, Eldon E.",Male,White
Eastern Louisiana,"Guidry, Greg Gerard",Male,White
Eastern Louisiana,"Lemelle, Ivan L. R.",Male,African American
Eastern Louisiana,"Milazzo, Jane Margaret Triche",Female,White
Eastern Louisiana,"Barbier, Carl J.",Male,White
Eastern Louisiana,"Papillion, Darrel James",Male,African American
Eastern Louisiana,"Vance, Sarah S.",Female,White
Eastern Louisiana,"Vitter, Wendy Baldwin",Female,White
Eastern Louisiana,"Zainey, Jay C.",Male,White
Eastern Louisiana,"Morgan, Susie",Female,White
Eastern Michigan,"Parker, Linda Vivienne",Female,African American
Eastern Michigan,"O'Meara, John Corbett",Male,White
Eastern Michigan,"Murphy, Stephen Joseph III",Male,White
Eastern Michigan,"Behm, Frances Kay",Female,White
Eastern Michigan,"Berg, Terrence George",Male,White
Eastern Michigan,"Cleland, Robert Hardy",Male,White
Eastern Michigan,"Cox, Sean Francis",Male,White
Eastern Michigan,"DeClercq, Susan Kim",Female,
Eastern Michigan,"Drain, Gershwin Allen",Male,African American
Eastern Michigan,"Edmunds, Nancy Garlock",Female,White
Eastern Michigan,"Borman, Paul D.",Male,White
Eastern Michigan,"Goldsmith, Mark Allan",Male,White
Eastern Michigan,"Leitman, Matthew Frederick",Male,White
Eastern Michigan,"Levy, Judith Ellen",Female,White
Eastern Michigan,"Friedman, Bernard A.",Male,White
Eastern Michigan,"Ludington, Thomas Lamson",Male,White
Eastern Michigan,"McMillion, Brandy Renée",Female,African American
Eastern Michigan,"Steeh, George Caram III",Male,White
Eastern Michigan,"Lawson, David M.",Male,White
Eastern Michigan,"Grey, Jonathan James Canada",Male,African American
Eastern Michigan,"Hood, Denise Page",Female,African American
Eastern Michigan,"Kumar, Shalina Deborah",Female,
Eastern Michigan,"Michelson, Laurie Jill",Female,White
Eastern Missouri,"White, Ronnie Lee",Male,African American
Eastern Missouri,"Webber, E. Richard",Male,White
Eastern Missouri,"Sippel, Rodney W.",Male,White
Eastern Missouri,"Schelp, Matthew Thomas",Male,White
Eastern Missouri,"Ross, John Andrew",Male,White
Eastern Missouri,"Pitlyk, Sarah Elizabeth",Female,White
Eastern Missouri,"Limbaugh, Stephen Nathaniel, Jr.",Male,White
Eastern Missouri,"Laughrey, Nanette Kay",Female,White
Eastern Missouri,"Fleissig, Audrey Goldstein",Female,White
Eastern Missouri,"Filippine, Edward Louis",Male,White
Eastern Missouri,"Clark, Stephen Robert, Sr.",Male,White
Eastern Missouri,"Autrey, Henry Edward",Male,African American
Eastern Missouri,"Perry, Catherine D.",Female,White
Eastern Missouri,"Hamilton, Jean Constance",Female,White
Eastern Missouri,"Wimes, Brian Curtis",Male,African American
Eastern New York,"Dearie, Raymond Joseph",Male,White
Eastern New York,"Hurley, Denis Reagan",Male,White
Eastern New York,"Gujarati, Diane",Female,
Eastern New York,"Gonzalez, Hector",Male,Hispanic
Eastern New York,"Glasser, Israel Leo",Male,White
Eastern New York,"Gershon, Nina",Female,White
Eastern New York,"Garaufis, Nicholas",Male,White
Eastern New York,"Donnelly, Ann Marie",Female,White
Eastern New York,"Vitaliano, Eric Nicholas",Male,White
Eastern New York,"DeArcy Hall, LaShann Moutique",Female,African American
Eastern New York,"Cogan, Brian Mark",Male,White
Eastern New York,"Choudhury, Nusrat Jahan",Female,
Eastern New York,"Chen, Pamela Ki Mai",Female,
Eastern New York,"Brown, Gary Richard",Male,White
Eastern New York,"Irizarry, Dora L.",Female,Hispanic
Eastern New York,"Brodie, Margo Kitsy",Female,African American
Eastern New York,"Azrack, Joan Marie",Female,White
Eastern New York,"Amon, Carol Bagley",Female,White
Eastern New York,"Korman, Edward Robert",Male,White
Eastern New York,"Kovner, Rachel Peter",Female,White
Eastern New York,"Kuntz, William Francis II",Male,African American
Eastern New York,"Matsumoto, Kiyo A.",Female,
Eastern New York,"Mauskopf, Roslynn Renee",Female,White
Eastern New York,"Merchant, Orelia Eleta",Female,African American
Eastern New York,"Merle, Natasha Clarise",Female,African American
Eastern New York,"Morrison, Nina Rauh",Female,White
Eastern New York,"Reyes, Ramon Ernesto, Jr.",Male,Hispanic
Eastern New York,"Ross, Allyne R.",Female,White
Eastern New York,"Seybert, Joanna",Female,White
Eastern New York,"Block, Frederic",Male,White
Eastern New York,"Komitee, Eric Ross",Male,White
Eastern Oklahoma,"Heil, John Frederick III",Male,White
Eastern Oklahoma,"White, Ronald A.",Male,White
Eastern Oklahoma,"Seay, Frank Howell",Male,Indigenous American
Eastern Oklahoma,"Payne, James H.",Male,White
Hawaii,"Smith, Micah William Janso",Male,
Hawaii,"Seabright, J[ohn] Michael",Male,White
Hawaii,"Ezra, David Alan",Male,White
Hawaii,"Gillmor, Helen W.",Female,White
Hawaii,"Kay, Alan Cooke",Male,White
Hawaii,"Kobayashi, Leslie Emi",Female,
Hawaii,"Mollway, Susan Oki",Female,
Hawaii,"Watson, Derrick Kahala",Male,
Hawaii,"Otake, Jill Aiko",Female,
Hawaii,"Park, Shanlyn Alohakeao Souza",Female,
Idaho,"Lodge, Edward J.",Male,White
Idaho,"Winmill, B. Lynn",Male,White
Idaho,"Brailsford, Amanda Kathleen",Female,White
Idaho,"Nye, David Charles",Male,White
Kansas,"Vratil, Kathryn Hoefer",Female,White
Kansas,"Robinson, Julie A.",Female,African American
Kansas,"Melgren, Eric F.",Male,White
Kansas,"Lungstrum, John Watson",Male,White
Kansas,"Crouse, Toby Jon",Male,White
Kansas,"Crabtree, Daniel Dale",Male,White
Kansas,"Broomes, John Wesley",Male,White
Kansas,"Teeter, Holly Lou",Female,White
Kansas,"Belot, Monti L.",Male,White
Maine,"Hornby, David Brock",Male,White
Maine,"Woodcock, John A., Jr.",Male,White
Maine,"Walker, Lance Edward",Male,White
Maine,"Torresen, Nancy",Female,White
