State,Names,Gender,Race and Ethnicity
Maryland,"Russell, George Levi III",Male,African American
Maryland,"Xinis, Paula",Female,White
Northern_New_York,"D'Agostino, Mae Avila",Female,White
Northern_New_York,"Hurd, David N.",Male,White
Northern_New_York,"Kahn, Lawrence E.",Male,White
Northern_New_York,"McAvoy, Thomas James",Male,White
Northern_New_York,"Nardacci, Anne Marie",Female,White
Northern_New_York,"Sannes, Brenda Kay",Female,White
Northern_New_York,"Scullin, Frederick James, Jr.",Male,White
Northern_New_York,"Sharpe, Gary L.",Male,White
Northern_New_York,"Suddaby, Glenn T.",Male,White
Southern_Indiana,"Barker, Sarah Evans",Female,White
Southern_Indiana,"Brookman, Matthew Paul",Male,White
Southern_Indiana,"Hanlon, James Patrick",Male,White
Southern_Indiana,"Lawrence, William T.",Male,White
Southern_Indiana,"Magnus-Stinson, Jane Elizabeth",Female,White
Southern_Indiana,"Pratt, Tanya Walton",Female,African American
Southern_Indiana,"Sweeney, James Russell II",Male,White
Southern_Indiana,"Young, Richard L.",Male,White
Eastern Texas,"Barker, J. Campbell",Male,White
Eastern Texas,"Clark, Ron",Male,White
Eastern Texas,"Crone, Marcia A.",Female,White
Eastern Texas,"Gilstrap, James Rodney",Male,White
Eastern Texas,"Jordan, Sean D.",Male,White
Eastern Texas,"Kernodle, Jeremy Daniel",Male,White
Eastern Texas,"Mazzant, Amos Louis III",Male,White
Eastern Texas,"Schell, Richard A.",Male,White
Eastern Texas,"Schroeder, Robert William III",Male,White
Eastern Texas,"Truncale, Michael Joseph",Male,White
Eastern_Illinois_all_names,,Female,
Arizona,"Bolton, Susan Ritchie",Female,White
Arizona,"Brnovich, Susan Marie",Female,White
Arizona,"Bury, David C.",Male,White
Arizona,"Campbell, David G.",Male,White
Arizona,"Collins, Raner Christercunean",Male,African American
Arizona,"Hinderaker, John Charles",Male,White
Arizona,"Humetewa, Diane Joyce",Female,Indigenous American
Arizona,"Jorgenson, Cindy K.",Female,White
Arizona,"Lanza, Dominic William",Male,White
Arizona,"Liburdi, Michael Thomas",Male,White
Arizona,"Logan, Steven Paul",Male,African American
Arizona,"Márquez, Rosemary",Female,Hispanic
Arizona,"Martone, Frederick J.",Male,White
Arizona,"McNamee, Stephen M.",Male,White
Arizona,"Rash, Scott Hugh",Male,White
Arizona,"Rayes, Douglas Leroy",Male,White
Arizona,"Silver, Roslyn O.",Female,White
Arizona,"Snow, G. Murray",Male,White
Arizona,"Soto, James Alan",Male,
Arizona,"Teilborg, James A.",Male,White
Arizona,"Tuchi, John Joseph",Male,White
Arizona,"Wake, Neil Vincent",Male,White
Arizona,"Zapata, Frank R.",Male,Hispanic
Arizona,"Zipps, Jennifer Guerin",Female,White
Eastern North Carolina,"Boyle, Terrence William",Male,White
Eastern North Carolina,"Britt, William Earl",Male,White
Eastern North Carolina,"Dever, James C. III",Male,White
Eastern North Carolina,"Flanagan, Louise W.",Female,White
Eastern North Carolina,"Howard, Malcolm Jones",Male,White
Eastern North Carolina,"Myers, Richard Ernest II",Male,
Middle_Louisiana,"Cain, James David, Jr.",Male,White
Middle_Louisiana,"Doughty, Terry Alvin",Male,White
Middle_Louisiana,"Drell, Dee D.",Male,White
Middle_Louisiana,"Foote, Elizabeth Erny",Female,White
Middle_Louisiana,"Hicks, S. Maurice, Jr.",Male,White
Middle_Louisiana,"James, Robert Gillespie",Male,White
Middle_Louisiana,"Joseph, David Cleveland",Male,White
Middle_Louisiana,"Melancon, Tucker L.",Male,White
Middle_Louisiana,"Summerhays, Robert Rees",Male,White
Middle_Louisiana,"Trimble, James Travis, Jr.",Male,White
Middle_Louisiana,"Walter, Donald Ellsworth",Male,White
Southern_New_York,"Abrams, Ronnie",Female,White
Southern_New_York,"Berman, Richard M.",Male,White
Southern_New_York,"Briccetti, Vincent Louis",Male,White
Southern_New_York,"Broderick, Vernon Speede",Male,
Southern_New_York,"Buchwald, Naomi Reice",Female,White
Southern_New_York,"Caproni, Valerie Elaine",Female,White
Southern_New_York,"Carter, Andrew Lamar, Jr.",Male,African American
Southern_New_York,"Castel, P. Kevin",Male,White
Southern_New_York,"Clarke, Jessica Gloria Lynn",Female,African American
Southern_New_York,"Cote, Denise",Female,White
Southern_New_York,"Cronan, John Peter",Male,White
Southern_New_York,"Crotty, Paul Austin",Male,White
Southern_New_York,"Daniels, George B.",Male,African American
Southern_New_York,"Engelmayer, Paul Adam",Male,White
Southern_New_York,"Failla, Katherine Polk",Female,White
Southern_New_York,"Furman, Jesse Matthew",Male,White
Southern_New_York,"Gardephe, Paul G.",Male,White
Southern_New_York,"Garnett, Margaret M.",Female,White
Southern_New_York,"Haight, Charles Sherman, Jr.",Male,White
Southern_New_York,"Halpern, Philip Morgan",Male,White
Southern_New_York,"Hellerstein, Alvin K.",Male,White
Southern_New_York,"Ho, Dale Edwin",Male,
Southern_New_York,"Kaplan, Lewis A.",Male,White
Southern_New_York,"Karas, Kenneth M.",Male,White
Southern_New_York,"Keenan, John Fontaine",Male,White
Southern_New_York,"Koeltl, John George",Male,White
Southern_New_York,"Liman, Lewis Jeffrey",Male,White
Southern_New_York,"Marrero, Victor",Male,Hispanic
Southern_New_York,"McMahon, Colleen",Female,White
Southern_New_York,"Oetken, James Paul",Male,White
Southern_New_York,"Preska, Loretta A.",Female,White
Southern_New_York,"Rakoff, Jed Saul",Male,White
Southern_New_York,"Ramos, Edgardo",Male,Hispanic
Southern_New_York,"Rearden, Jennifer Hutchison",Female,White
Southern_New_York,"Rochon, Jennifer Louise",Female,White
Southern_New_York,"Román, Nelson Stephen",Male,Hispanic
Southern_New_York,"Schofield, Lorna Gail",Female,
Southern_New_York,"Seibel, Cathy",Female,White
Southern_New_York,"Stanton, Louis Lee",Male,White
Southern_New_York,"Stein, Sidney H.",Male,White
Southern_New_York,"Subramanian, Arun Srinivas",Male,
Southern_New_York,"Swain, Laura Taylor",Female,African American
Southern_New_York,"Torres, Analisa Nadine",Female,
Southern_New_York,"Vyskocil, Mary Kay",Female,White
Southern_New_York,"Wood, Kimba Maureen",Female,White
Southern_New_York,"Woods, Gregory Howard III",Male,African American
Eastern Virginia,"Allen, Arenda Lauretta Wright",Female,African American
Eastern Virginia,"Alston, Rossie David, Jr.",Male,African American
Eastern Virginia,"Brinkema, Leonie M.",Female,White
Eastern Virginia,"Davis, Mark Steven",Male,White
Eastern Virginia,"Ellis, Thomas Selby III",Male,White
Eastern Virginia,"Gibney, John Adrian, Jr.",Male,White
Eastern Virginia,"Giles, Patricia Tolliver",Female,African American
Eastern Virginia,"Hanes, Elizabeth Wilson",Female,White
Eastern Virginia,"Hilton, Claude M.",Male,White
Eastern Virginia,"Hudson, Henry E.",Male,White
Eastern Virginia,"Jackson, Raymond Alvin",Male,African American
Eastern Virginia,"Lauck, M[ary] Hannah",Female,White
Eastern Virginia,"Nachmanoff, Michael Stefan",Male,White
Eastern Virginia,"Novak, David John",Male,White
Eastern Virginia,"Payne, Robert E.",Male,White
Eastern Virginia,"Smith, Rebecca Beach",Female,White
Eastern Virginia,"Trenga, Anthony John",Male,White
Eastern Virginia,"Walker, Jamar Kentrell",Male,African American
Eastern Virginia,"Young, Roderick Charles",Male,African American
South Dakota,"Kornmann, Charles B.",Male,White
South Dakota,"Lange, Roberto Antonio",Male,White
South Dakota,"Piersol, Lawrence L.",Male,White
South Dakota,"Schreier, Karen E.",Female,White
New_Hampshire,"Barbadoro, Paul J.",Male,White
New_Hampshire,"Elliott, Samantha Dowd",Female,White
New_Hampshire,"Laplante, Joseph Normand",Male,White
New_Hampshire,"McAuliffe, Steven J.",Male,White
New_Hampshire,"McCafferty, Landya B.",Female,White
Northern Texas,"Boyle, Jane J.",Female,White
Northern Texas,"Brown, Ada Elene",Female,
Northern Texas,"Cummings, Samuel Ray",Male,White
Northern Texas,"Fish, A[llen] Joe",Male,White
Northern Texas,"Fitzwater, Sidney Allen",Male,White
Northern Texas,"Godbey, David C.",Male,White
Northern Texas,"Hendrix, James Wesley",Male,White
Northern Texas,"Kacsmaryk, Matthew Joseph",Male,White
Northern Texas,"Kinkeade, James E.",Male,White
Northern Texas,"Lindsay, Sam A.",Male,African American
Northern Texas,"Lynn, Barbara M.",Female,White
Northern Texas,"Maloney, Robert B.",Male,White
Northern Texas,"Means, Terry R.",Male,White
Northern Texas,"O'Connor, Reed Charles",Male,White
Northern Texas,"Pittman, Mark Timothy",Male,White
Northern Texas,"Scholer, Karen Gren",Female,
Northern Texas,"Starr, Brantley David",Male,White
Kansas,"Belot, Monti L.",Male,White
Kansas,"Broomes, John Wesley",Male,White
Kansas,"Crabtree, Daniel Dale",Male,White
Kansas,"Crouse, Toby Jon",Male,White
Kansas,"Lungstrum, John Watson",Male,White
Kansas,"Melgren, Eric F.",Male,White
Kansas,"Robinson, Julie A.",Female,African American
Kansas,"Teeter, Holly Lou",Female,White
Kansas,"Vratil, Kathryn Hoefer",Female,White
Central_Illinois,"Bruce, Colin Stirling",Male,White
Central_Illinois,"Darrow, Sara Lynn",Female,White
Central_Illinois,"Lawless, Colleen Rae",Female,White
Central_Illinois,"McDade, Joe Billy",Male,African American
Central_Illinois,"Mihm, Michael Martin",Male,White
Central_Illinois,"Myerscough, Sue Ellen",Female,White
Central_Illinois,"Shadid, James Edward",Male,White
Southern West Virginia,"Berger, Irene Cornelia",Female,African American
Southern West Virginia,"Chambers, Robert Charles",Male,White
Southern West Virginia,"Copenhaver, John Thomas, Jr.",Male,White
Southern West Virginia,"Faber, David A.",Male,White
Southern West Virginia,"Goodwin, Joseph Robert",Male,White
Southern West Virginia,"Johnston, Thomas E.",Male,White
Southern West Virginia,"Volk, Frank William",Male,White
Western Virginia,"Ballou, Robert Stewart",Male,White
Western Virginia,"Cullen, Thomas Tullidge",Male,White
Western Virginia,"Dillon, Elizabeth Kay",Female,White
Western Virginia,"Jones, James Parker",Male,White
Western Virginia,"Moon, Norman K.",Male,White
Western Virginia,"Urbanski, Michael Francis",Male,White
Nebraska,"Bataillon, Joseph F.",Male,White
Nebraska,"Buescher, Brian Craig",Male,White
Nebraska,"Gerrard, John Melvin",Male,White
Nebraska,"Kopf, Richard George",Male,White
Nebraska,"Rossiter, Robert F., Jr.",Male,White
Montana,"Christensen, Dana Lewis",Male,White
Montana,"Haddon, Sam E.",Male,White
Montana,"Molloy, Donald W.",Male,White
Montana,"Morris, Brian Matthew",Male,White
Montana,"Watters, Susan Pamela",Female,White
Western Washington,"Bryan, Robert Jensen",Male,White
Western Washington,"Cartwright, Tiffany Mae",Female,White
Western Washington,"Chun, John Hyungseung",Male,
Western Washington,"Coughenour, John C.",Male,White
Western Washington,"Dimmick, Carolyn R.",Female,White
Western Washington,"Estudillo, David",Male,Hispanic
Western Washington,"Evanson, Kymberly Kathryn",Female,White
Western Washington,"Jones, Richard A.",Male,African American
Western Washington,"King, Lauren Jennifer",Female,Indigenous American
Western Washington,"Lasnik, Robert S.",Male,White
Western Washington,"Lin, Tana",Female,
Western Washington,"Martinez, Ricardo S.",Male,Hispanic
